date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2024/8/17 0:00,11814353887.54369,116559169763.38998,116836846708.029
2024/8/18 0:00,9662008988.504377,116237092148.9501,116885176708.029
2024/8/19 0:00,23500385038.91179,116684483626.21002,116886835208.029
2024/8/20 0:00,26646202407.311947,116837704714.52007,116993634416.837
2024/8/21 0:00,23125638814.129658,117024929800.07004,117294453952.965
2024/8/22 0:00,23136792722.500023,117230778345.31009,117426141388.06
2024/8/23 0:00,24257855626.18532,117460625281.92,117676046786.114
2024/8/24 0:00,14306573455.134687,117567984531.32,117860216534.998
2024/8/25 0:00,11752365004.36668,117371966223.96997,117862094160.202
2024/8/26 0:00,22621879613.554035,117530512842.53993,117862094160.202
2024/8/27 0:00,24585335411.52365,117387496897.67004,118039332678.207
2024/8/28 0:00,23949377852.614815,117538794742.60004,118104595856.357
2024/8/29 0:00,21583803103.59156,117736050117.88007,118104595856.357
2024/8/30 0:00,21815926777.028763,117786817254.80005,118225843080.772
2024/8/31 0:00,12809550960.422533,117749019426.08,118228802316.484
2024/9/1 0:00,11721547262.774479,117829270251.68997,118228802316.484
2024/9/2 0:00,22405417739.37457,117677989461.49,118141801841.452
2024/9/3 0:00,23143060333.33205,117465317138.92001,118141801841.452
2024/9/4 0:00,25001525927.89594,117726840968.91008,118142287334.841
2024/9/5 0:00,22927240994.4257,117648493805.48,118154769247.383
2024/9/6 0:00,25621701887.39314,117757498668.64005,118191486570.889
2024/9/7 0:00,13311281534.270432,117787693486.59999,118195386570.654
2024/9/8 0:00,10662607739.225563,117675056462.51999,118195386570.316
2024/9/9 0:00,24975562330.015465,117852655765.64006,118195386570.316
2024/9/10 0:00,22847139407.744804,117940067532.17004,118376416505.886
2024/9/11 0:00,21770304630.93574,117902915039.74004,118376416505.886
2024/9/12 0:00,21298977583.86001,117841796534.34001,118377416456.808
2024/9/13 0:00,23302540126.171146,118223669576.23997,118581493584.729
2024/9/14 0:00,13130306277.672962,118404013296.39,118581493584.729
2024/9/15 0:00,10474305627.247011,118395936535.24998,118810537791.354
2024/9/16 0:00,22313180627.321598,118167696557.70001,118701127897.486
2024/9/17 0:00,20450840864.96575,118398747808.36003,118701127897.486
2024/9/18 0:00,20458303444.918007,118594025377.46002,118841128795.21
2024/9/19 0:00,24858108823.3224,118590188671.8499,118891598050.372
2024/9/20 0:00,23302886190.38185,118703163508.65993,119166241913.548
2024/9/21 0:00,11824065257.163795,118641927750.30995,119139238140.344
2024/9/22 0:00,10078885848.637804,118687974269.28003,119162238140.344
2024/9/23 0:00,23374748233.25627,118720374818.62003,119243573831.052
2024/9/24 0:00,23036868885.264248,118728458496.90004,119234806111.271
2024/9/25 0:00,22387313836.870983,118861793647.70003,119281307303.469
2024/9/26 0:00,24739428862.929,118867754929.8201,119281307303.469
2024/9/27 0:00,23788742961.06139,118973115343.90001,119412806447.751
2024/9/28 0:00,11846194865.436483,119100359921.73997,119412806447.751
2024/9/29 0:00,10965218141.713816,119125312059.12996,119518802450.521
2024/9/30 0:00,27441513968.63686,119168274196.70993,119629274444.246
